Country,Life expectancy
Afghanistan,58.193749999999994
Albania,75.15624999999999
Algeria,73.61874999999999
Angola,49.01875
Antigua and Barbuda,75.05624999999999
Argentina,75.15624999999999
Armenia,73.39999999999999
Australia,81.81250000000001
Austria,81.48124999999999
Azerbaijan,70.73124999999999
Bahamas,74.28750000000001
Bahrain,75.72500000000001
Bangladesh,69.3
Barbados,74.35625
Belarus,69.90625
Belgium,80.68124999999999
Belize,69.26875
Benin,57.568749999999994
Bhutan,66.1625
Bolivia,67.70625
Bosnia and Herzegovina,75.96875000000001
Botswana,56.05
Brazil,73.38125
Brunei Darussalam,76.48750000000001
Bulgaria,72.85
Burkina Faso,55.64374999999999
Burundi,55.537499999999994
Cabo Verde,72.51875
Cambodia,64.34375
Cameroon,54.01875
Canada,81.6875
Central African Republic,48.51250000000001
Chad,50.3875
Chile,79.44999999999999
China,74.2625
Colombia,73.28750000000001
Comoros,61.581250000000004
Congo (Brazzaville),59.04375
Cook Islands,
Costa Rica,78.59374999999999
Croatia,76.11875
Cuba,77.97500000000001
Cyprus,79.675
Czech Republic,76.76875
C̫te d'Ivoire,50.3875
North Korea,69.19375000000001
Congo (Kinshasa),55.687499999999986
Denmark,79.25625000000001
Djibouti,60.75625
Dominica,
Dominican Republic,72.34374999999999
Ecuador,74.72500000000001
Egypt,71.5
El Salvador,71.74375
Equatorial Guinea,55.3125
Eritrea,60.6875
Estonia,74.94375
Ethiopia,59.11250000000001
Fiji,68.7125
Finland,80.7125
France,82.21875
Gabon,62.243750000000006
Gambia,59.462500000000006
Georgia,73.50625
Germany,81.175
Ghana,60.8625
Greece,81.21875
Grenada,73.29375
Guatemala,71.73125
Guinea,56.0125
Guinea-Bissau,55.36875
Guyana,65.6375
Haiti,59.868750000000006
Honduras,72.99374999999999
Hungary,73.82499999999999
Iceland,82.44375000000001
India,65.41874999999999
Indonesia,67.55625
Iran,73.85624999999999
Iraq,70.35625
Ireland,80.15
Israel,81.3
Italy,82.1875
Jamaica,74.29375
Japan,82.5375
Jordan,72.9875
Kazakhstan,66.7625
Kenya,57.481249999999996
Kiribati,65.14999999999999
Kuwait,73.84375000000001
Kyrgyzstan,69.08125
Lao People's Democratic Republic,62.38125
Latvia,73.73125
Lebanon,74.2
Lesotho,48.78124999999999
Liberia,57.525
Libya,72.48750000000001
Lithuania,72.80624999999999
Luxembourg,80.78125
Madagascar,62.74375
Malawi,49.893750000000004
Malaysia,73.75625000000001
Maldives,75.5375
Mali,54.9375
Malta,80.36250000000001
Marshall Islands,
Mauritania,62.8
Mauritius,72.7125
Mexico,75.71874999999999
Micronesia (Federated States of),68.2
Monaco,
Mongolia,65.8875
Montenegro,74.5
Morocco,72.15624999999999
Mozambique,53.393750000000004
Myanmar,64.2
Namibia,60.400000000000006
Nepal,66.48125
Netherlands,81.13125
New Zealand,81.33749999999999
Nicaragua,73.45
Niger,56.98125
Nigeria,51.35625000000001
Norway,81.79375
Oman,74.84375
Pakistan,64.5
Panama,76.4875
Papua New Guinea,61.68125
Paraguay,73.1125
Peru,73.66250000000001
Philippines,67.57499999999999
Poland,75.65
Portugal,79.99375
Qatar,77.03125
South Korea,80.4875
Moldova,69.98124999999999
Romania,74.05000000000001
Russia,67.76249999999999
Rwanda,59.3125
Saint Kitts and Nevis,
Saint Lucia,73.6
Saint Vincent and the Grenadines,73.475
Samoa,73.61875
San Marino,
Sao Tome and Principe,65.1625
Saudi Arabia,73.46875
Senegal,62.56875
Serbia,73.95625
Seychelles,72.37500000000001
Sierra Leone,46.1125
Singapore,81.47500000000001
Slovakia,74.75
Slovenia,79.73125
Solomon Islands,67.7125
Somalia,53.31875
South Africa,57.49999999999999
South Sudan,53.875
Spain,82.06875
Sri Lanka,73.4
Sudan,61.825
Suriname,70.08125
Swaziland,51.324999999999996
Sweden,82.51875
Switzerland,82.33125
Syria,70.85
Tajikistan,66.65625
Thailand,73.08125
Macedonia,74.1125
Timor-Leste,64.75625
Togo,56.66250000000001
Tonga,72.53124999999999
Trinidad and Tobago,71.06875
Tunisia,74.35625000000002
Turkey,73.9125
Turkmenistan,64.61874999999999
Tuvalu,
Uganda,55.70625
Ukraine,69.9375
United Arab Emirates,75.7
United Kingdom,80.79375
Tanzania,56.00625000000001
United States,78.06250000000001
Uruguay,76.075
Uzbekistan,68.03125
Vanuatu,71.38749999999999
Venezuela,73.3875
Vietnam,74.775
Yemen,63.862500000000004
Zambia,53.90624999999999
Zimbabwe,50.48749999999999
